slug,entry,current,proposed,reason
eddieguerrero,Eddie Guerrero,Eddie Guerrero,Eddie Guerrero,Both first and last names are needed to identify the famous wrestler.
eddiehall,Eddie Hall,Eddie Hall,Eddie Hall,"His full name is the recognizable form, and the current display is already correct."
eddieizzard,Eddie Izzard,Eddie Izzard,Eddie Izzard,"The full name is the recognizable form, and the current display is already correct."
eddiemurphy,Eddie Murphy,Eddie Murphy,Eddie Murphy,"His full name is the instantly recognizable form, and the current display is already correct."
eddietheeagle,Eddie the Eagle,Eddie the Eagle,Eddie the Eagle,Eddie the Eagle is the famous form; the descriptive epithet is stripped.
eddievanhalen,Eddie Van Halen,Eddie Van Halen,Eddie Van Halen,Both the first and last names are needed to identify the famous guitarist.
edgarallanpoe,Edgar Allan Poe,Edgar Allan Poe,Poe,Edgar Allan Poe is universally recognized by his surname alone.
edithpiaf,Edith Piaf,Edith Piaf,Edith Piaf,Both names are needed to identify the famous singer.
edsheeran,Ed Sheeran,Ed Sheeran,Ed Sheeran,Both first and last names are needed for the instantly recognisable form.
edwardsnowden,Edward Snowden,Edward Snowden,Edward Snowden,Both first and last names are needed to identify him naturally.
edwood,Ed Wood,Ed Wood,Ed Wood,Both names are needed to recognize the filmmaker.
elchapo,El Chapo,El Chapo,El Chapo,The current display is already the instantly recognizable name.
eliezeryudkowsky,Eliezer Yudkowsky,Eliezer Yudkowsky,Eliezer Yudkowsky,Both the first and last name are needed to identify him; the current display is already correct.
elijahwood,Elijah Wood,Elijah Wood,Elijah Wood,Both names are needed to identify him; the current display is already correct.
elizabethholmes,Elizabeth Holmes,Elizabeth Holmes,Elizabeth Holmes,Both first and last names are needed for immediate recognition; the current display is already correct.
elizabethtaylor,Elizabeth Taylor,Elizabeth Taylor,Elizabeth Taylor,"Both names are needed for recognition, and the current display is already correct."
ellafitzgerald,Ella Fitzgerald,Ella Fitzgerald,Ella Fitzgerald,Both names are needed to identify this iconic singer.
ellendegeneres,Ellen DeGeneres,Ellen DeGeneres,Ellen DeGeneres,Her full name is the recognizable in-game form.
elonmusk,Elon Musk,Elon Musk,Elon Musk,Both first and last names are needed for immediate recognition.
eltonjohn,Elton John,Elton John,Elton John,"Both names are needed for the iconic full-name form, and the current display is already correct."
elvira,Elvira,Elvira,Elvira,Already the iconic name used for the character.
elvispresley,Elvis Presley,Elvis Presley,Elvis Presley,Both first and last name are needed for the iconic full name.
eminem,Eminem,Eminem,Eminem,Eminem is the artist’s iconic stage name and the current display is already correct.
ericcantona,Eric Cantona,Eric Cantona,Cantona,Surname alone is the instantly recognizable form for Eric Cantona.
ericidle,Eric Idle,Eric Idle,Eric Idle,Both first and last names are needed to identify the famous performer.
erlinghaaland,Erling Haaland,Erling Haaland,Erling Haaland,"His full name is the instantly recognizable form, and the current display is already correct."
ernesthemingway,Ernest Hemingway,Ernest Hemingway,Hemingway,"His surname alone is the iconic, instantly recognizable form."
erwinschrdinger,Erwin Schrödinger,Erwin Schrödinger,Schrödinger,His surname alone is the instantly recognizable form.
evanderholyfield,Evander Holyfield,Evander Holyfield,Evander Holyfield,Both first and last name are needed to identify the famous boxer.
evapern,Eva Perón,Eva Perón,Eva Perón,"Her full name is the established recognizable form, and the current display is already correct."
evelknievel,Evel Knievel,Evel Knievel,Evel Knievel,"The current display is already the fighter’s iconic, instantly recognizable full name."
falstaff,Falstaff,Falstaff,Falstaff,Already the recognizable name; no change needed.
farrahfawcett,Farrah Fawcett,Farrah Fawcett,Farrah Fawcett,Both first and last names are needed to identify her by her iconic full name.
fatboyslim,Fatboy Slim,Fatboy Slim,Fatboy Slim,The current display is already the fighter’s instantly recognizable stage name.
fathertime,Father Time,Father Time,Father Time,The current display is already the iconic name of the character.
faust,Faust,Faust,Faust,Already the correct iconic name; no change needed.
fedoremelianenko,Fedor Emelianenko,Fedor Emelianenko,Fedor Emelianenko,Both first and surname are needed to identify the famous fighter.
feifeili,Fei-Fei Li,Fei-Fei Li,Fei-Fei Li,"Her full name is the recognizable form, and the current display is already correct."
felakuti,Fela Kuti,Fela Kuti,Fela Kuti,"His full name is the recognizable form, and the current display is already correct."
felixthecat,Felix the Cat,Felix the Cat,Felix the Cat,The character is canonically and instantly recognized by the full name “Felix the Cat.”
fidelcastro,Fidel Castro,Fidel Castro,Castro,Surname alone is the instantly recognizable form.
figaro,Figaro,Figaro,Figaro,The current display is already the recognizable name.
flavorflav,Flavor Flav,Flavor Flav,Flavor Flav,The current display is already the fighter’s recognizable stage name.
flea,Flea,Flea,Flea,Already the correct iconic name; no change needed.
florencegriffith,Florence Griffith Joyner,Florence Griffith Joyner,Florence Griffith Joyner,Her full name is the recognizable form; neither “Florence” nor “Griffith Joyner” alone is sufficient.
floydmayweather,Floyd Mayweather,Floyd Mayweather,Floyd Mayweather,"The full name is the natural, instantly recognizable form for this famous boxer."
francisngannou,Francis Ngannou,Francis Ngannou,Francis Ngannou,Both given name and surname are needed to clearly identify the fighter.
francisofassisi,Francis of Assisi,Francis of Assisi,Francis of Assisi,Francis of Assisi is most naturally and instantly recognized by the first name Francis in this roster context.
frankensteinsmon,Frankenstein's Monster,Frankenstein's Monster,Frankenstein's Monster,"The current display is already the natural, instantly recognizable name for the character."
franklinroosevel,Franklin Roosevelt,Franklin Roosevelt,Roosevelt,"He is world-famous by his surname, so the announcer uses the shorter iconic form."
franksinatra,Frank Sinatra,Frank Sinatra,Frank Sinatra,Both first and last name are needed for instant recognition; the current display is already correct.
franzkafka,Franz Kafka,Franz Kafka,Kafka,Kafka is the world-famous surname and shortest instantly recognizable form.
franzliszt,Franz Liszt,Franz Liszt,Liszt,Liszt is the surname by which the world-famous composer is most readily recognized.
frdricchopin,Frédéric Chopin,Frédéric Chopin,Chopin,Chopin is the instantly recognizable surname form for Frédéric Chopin.
fredastaire,Fred Astaire,Fred Astaire,Fred Astaire,Both first and last names are needed for recognition.
freddiemercury,Freddie Mercury,Freddie Mercury,Freddie Mercury,Both first and surname are needed for his iconic full-name recognition.
freddurst,Fred Durst,Fred Durst,Fred Durst,His full name is the recognisable form used for the Limp Bizkit frontman; the current display is already right.
fredtrump,Fred Trump,Fred Trump,Fred Trump,Both first and last names are needed to identify him clearly; the current display is already right.
friartuck,Friar Tuck,Friar Tuck,Friar Tuck,"The character is conventionally recognized by the full name “Friar Tuck,” and the current display is already correct."
fridakahlo,Frida Kahlo,Frida Kahlo,Frida Kahlo,Both first and last names are needed for instant recognition.
friedrichnietzsc,Friedrich Nietzsche,Friedrich Nietzsche,Nietzsche,His surname alone is the instantly recognizable form.
gabenewell,Gabe Newell,Gabe Newell,Gabe Newell,The current display is already the correct recognizable full name.
gabrieliglesias,Gabriel Iglesias,Gabriel Iglesias,Gabriel Iglesias,"His full name is the recognizable form, and the current display is already correct."
galileogalilei,Galileo Galilei,Galileo Galilei,Galileo,Galileo is the instantly recognizable form of his name; the surname is not generally used alone.
gallagher,Gallagher,Gallagher,Gallagher,The current display is already the fighter’s recognizable name.
garthbrooks,Garth Brooks,Garth Brooks,Garth Brooks,Both first and last names are needed for the instantly recognizable form.
garyoldman,Gary Oldman,Gary Oldman,Gary Oldman,Both first and last names are needed to identify the famous actor.
gdragon,G-Dragon,G-Dragon,G-Dragon,The current display is already the fighter’s recognized stage name.
genesimmons,Gene Simmons,Gene Simmons,Gene Simmons,Both names are needed to instantly identify the musician.
genghiskhan,Genghis Khan,Genghis Khan,Genghis Khan,Both names are needed for the instantly recognizable historical figure.
geoffreyhinton,Geoffrey Hinton,Geoffrey Hinton,Hinton,"Geoffrey Hinton is world-famous primarily by his surname, so the announcer uses the shortest instantly recognisable form."
georgecarlin,George Carlin,George Carlin,George Carlin,Both first and last name are needed for recognition.
georgeforeman,George Foreman,George Foreman,George Foreman,Both names are needed to identify the famous boxer.
georgelopez,George Lopez,George Lopez,George Lopez,Both first and last names are needed to identify the comedian.
georgelucas,George Lucas,George Lucas,George Lucas,Both first and last names are needed for the instantly recognizable full name.
georgemichael,George Michael,George Michael,George Michael,Both names are needed to identify the famous singer.
georgepatton,George Patton,George Patton,George Patton,Both first and last names are needed for the recognizable full name.
georgerrmartin,George R. R. Martin,George R. R. Martin,George R. R. Martin,"His full name is the recognisable form, and the current display is already correct."
georgesstpierre,Georges St-Pierre,Georges St-Pierre,Georges St-Pierre,The current display is already the fighter’s recognizable full name.
georgetakei,George Takei,George Takei,George Takei,"Both names are needed for recognition, and the current display is already correct."
georgewashington,George Washington,George Washington,George Washington,Both first and last names are needed for the recognizable full name.
geronimo,Geronimo,Geronimo,Geronimo,The current display is already the recognizable name.
giancarloesposit,Giancarlo Esposito,Giancarlo Esposito,Giancarlo Esposito,His full name is the recognizable form; neither the first name nor surname alone is sufficient.
giannisantetokou,Giannis Antetokounmpo,Giannis Antetokounmpo,Giannis Antetokounmpo,"His full name is the recognizable form, and the current display is already correct."
gilgamesh,Gilgamesh,Gilgamesh,Gilgamesh,The current display is already the recognizable name of the fighter.
girlwithapearlea,Girl with a Pearl Earring,Girl with a Pearl Earring,Girl with a Pearl Earring,This is the artwork's iconic title and is already the correct recognizable in-game name.
gordonramsay,Gordon Ramsay,Gordon Ramsay,Gordon Ramsay,The current display is already the recognizable full name.
gracejones,Grace Jones,Grace Jones,Grace Jones,The current display is already the correct recognizable name.
grandmasterflash,Grandmaster Flash,Grandmaster Flash,Grandmaster Flash,This is his established stage name and the current display is already correct.
gregbrockman,Greg Brockman,Greg Brockman,Greg Brockman,"His full name is the recognizable form, and the current display is already correct."
grendel,Grendel,Grendel,Grendel,The current display is already the fighter’s recognizable name.
gretathunberg,Greta Thunberg,Greta Thunberg,Greta Thunberg,Both given name and surname are needed for the instantly recognizable full name.
grimes,Grimes,Grimes,Grimes,The current display is already the recognizable name.
grouchomarx,Groucho Marx,Groucho Marx,Groucho Marx,Both names are needed to identify the famous entertainer.
guanyu,Guan Yu,Guan Yu,Guan Yu,The current display is already the fighter's recognized name.
guidovanrossum,Guido van Rossum,Guido van Rossum,Guido van Rossum,Both name parts are needed to clearly identify the famous programmer; the current display is already right.
guillermodeltoro,Guillermo del Toro,Guillermo del Toro,Guillermo del Toro,"His full name is the recognizable form, and the current display is already correct."
guyfawkes,Guy Fawkes,Guy Fawkes,Guy Fawkes,Both names are needed for the well-known historical figure.
guyfieri,Guy Fieri,Guy Fieri,Guy Fieri,The current display is already the recognizable full name.
gwendolinechrist,Gwendoline Christie,Gwendoline Christie,Gwendoline Christie,"Her full name is the recognizable form, and the current display is already correct."
gwenstefani,Gwen Stefani,Gwen Stefani,Gwen Stefani,"Her full name is the instantly recognizable form, and the current display is already correct."
hafthorbjrnsson,Hafthor Björnsson,Hafthor Björnsson,Hafthor Björnsson,The current display is already the fighter’s recognizable full name.
hakuho,Hakuho,Hakuho,Hakuho,The current display is already the fighter’s recognized name.
hamlet,Hamlet,Hamlet,Hamlet,The current display is already the character’s iconic name.
hankwilliams,Hank Williams,Hank Williams,Hank Williams,"The current display is already the natural, recognizable full name."
hannibal,Hannibal,Hannibal Barca,Hannibal,Hannibal is the instantly recognizable form; the surname is unnecessary here.
harrisonford,Harrison Ford,Harrison Ford,Harrison Ford,Both first and last names are needed for the recognizable full name.
harryhoudini,Harry Houdini,Harry Houdini,Houdini,Houdini is the instantly recognizable surname and stage name.
harrystyles,Harry Styles,Harry Styles,Harry Styles,Both first and last names are needed for the instantly recognisable public figure.
hattorihanzo,Hattori Hanzo,Hattori Hanzo,Hattori Hanzo,Both name elements are needed to identify the fictional ninja character.
hayaomiyazaki,Hayao Miyazaki,Hayao Miyazaki,Hayao Miyazaki,Both names are needed to clearly identify the famous filmmaker.
heidiklum,Heidi Klum,Heidi Klum,Heidi Klum,"Her full name is the recognizable form, and the current display is already correct."
henrycavill,Henry Cavill,Henry Cavill,Henry Cavill,"His full name is the recognizable form, and the current display is already correct."
henryford,Henry Ford,Henry Ford,Henry Ford,Both first and last names are needed to identify the famous industrialist.
henrywinkler,Henry Winkler,Henry Winkler,Henry Winkler,"His full name is the recognizable form, and the current display is already correct."
herculepoirot,Hercule Poirot,Hercule Poirot,Hercule Poirot,Both first and surname are needed to identify the famous fictional detective.
herculesthegreek,Hercules the Greek Hero,Hercules the Greek Hero,Hercules,The descriptive epithet “the Greek Hero” is stripped; Hercules is the instantly recognizable name.
hideokojima,Hideo Kojima,Hideo Kojima,Hideo Kojima,Both names are needed for the recognizable full name.
hochiminh,Ho Chi Minh,Ho Chi Minh,Ho Chi Minh,"The current display is already the natural, instantly recognizable full name."
homer,Homer,Homer,Homer,The current display is already the iconic name.
horationelson,Horatio Nelson,Horatio Nelson,Nelson,Surname alone is the instantly recognisable form for the famous British admiral Horatio Nelson.
howardhughes,Howard Hughes,Howard Hughes,Howard Hughes,Both first and last names are needed for instant recognition.
howardstern,Howard Stern,Howard Stern,Howard Stern,"His full name is the recognizable form, and the current display is already correct."
howiemandel,Howie Mandel,Howie Mandel,Howie Mandel,"The current display is already the natural, instantly recognizable full name."
huckleberryfinn,Huckleberry Finn,Huckleberry Finn,Huckleberry Finn,"The full name is the recognizable form for this character, and the current display is already correct."
hughjackman,Hugh Jackman,Hugh Jackman,Hugh Jackman,Both first and last names are needed to identify him naturally.
hulkhogan,Hulk Hogan,Hulk Hogan,Hulk Hogan,"The current display is already the fighter’s iconic, instantly recognizable name."
humphreybogart,Humphrey Bogart,Humphrey Bogart,Humphrey Bogart,Both first and last names are needed for the instantly recognizable full name.
humptydumpty,Humpty Dumpty,Humpty Dumpty,Humpty Dumpty,The current display is already the recognizable name of the character.
iago,Iago,Iago,Iago,Iago is already the recognizable name and needs no qualifier.
ianmckellen,Ian McKellen,Ian McKellen,Ian McKellen,"His full name is the recognizable form, and the current display is already correct."
icecube,Ice Cube,Ice Cube,Ice Cube,The current display is already the fighter’s well-known name.
icespice,Ice Spice,Ice Spice,Ice Spice,"Her established stage name is the recognizable form, and the current display is already correct."
icet,Ice-T,Ice-T,Ice-T,The current display is already the fighter's recognizable stage name.
ichabodcrane,Ichabod Crane,Ichabod Crane,Ichabod Crane,Both names are needed to identify the famous fictional character.
ichiro,Ichiro,Ichiro,Ichiro,"Ichiro is the instantly recognizable name for the baseball star, and the current display is already correct."
idriselba,Idris Elba,Idris Elba,Idris Elba,"His full name is the recognizable form, and the current display is already correct."
iggypop,Iggy Pop,Iggy Pop,Iggy Pop,The current display is already the recognizable name of the musician.
ilyasutskever,Ilya Sutskever,Ilya Sutskever,Ilya Sutskever,His full name is the recognizable form; neither “Ilya” nor “Sutskever” alone is sufficient.
imeldamarcos,Imelda Marcos,Imelda Marcos,Imelda Marcos,"Her full name is the recognizable form, and the current display is already correct."
ipman,Ip Man,Ip Man,Ip Man,The current display is already the fighter’s recognizable name.
isaacnewton,Isaac Newton,Isaac Newton,Newton,Surname alone is the instantly recognizable form.
isambardkingdomb,Isambard Kingdom Brunel,Isambard Kingdom Brunel,Brunel,Brunel is the surname by which Isambard Kingdom Brunel is commonly recognized.
ishowspeed,IShowSpeed,IShowSpeed,IShowSpeed,The current display is already the fighter’s recognizable stage name.
ivankatrump,Ivanka Trump,Ivanka Trump,Ivanka Trump,"The current display is already the natural, recognizable full name."
ivantheterrible,Ivan the Terrible,Ivan the Terrible,Ivan the Terrible,The iconic historical name includes the epithet and is already correctly displayed.
jackblack,Jack Black,Jack Black,Jack Black,Jack Black is the recognizable full name and the current display is already correct.
jackfrost,Jack Frost,Jack Frost,Jack Frost,The current display is already the character’s recognizable name.
jackiechan,Jackie Chan,Jackie Chan,Jackie Chan,The current display is already the fighter’s iconic full name.
jackiegleason,Jackie Gleason,Jackie Gleason,Jackie Gleason,"Both names are needed to recognize this entertainer, and the current display is already correct."
jackierobinson,Jackie Robinson,Jackie Robinson,Jackie Robinson,Both names are needed to instantly identify the famous baseball player.
jacklalanne,Jack LaLanne,Jack LaLanne,Jack LaLanne,His full name is the recognizable form; neither “Jack” nor “LaLanne” alone is sufficient.
jacknicholson,Jack Nicholson,Jack Nicholson,Jack Nicholson,"The full name is the iconic, instantly recognizable form."
jackthegiantkill,Jack the Giant Killer,Jack the Giant Killer,Jack the Giant Killer,The famous folkloric hero is most instantly recognized as Jack; the descriptive epithet is stripped.
jacquescousteau,Jacques Cousteau,Jacques Cousteau,Jacques Cousteau,His full name is the recognizable form; neither “Jacques” nor “Cousteau” alone is sufficient.
jakepaul,Jake Paul,Jake Paul,Jake Paul,The current display is already the recognizable full name.
jakethesnakerobe,Jake the Snake Roberts,Jake the Snake Roberts,Jake the Snake Roberts,The current display is already the fighter’s iconic full ring name.
jamesbrown,James Brown,James Brown,James Brown,Both names are needed for the iconic musician's instantly recognizable name.
jamesdean,James Dean,James Dean,James Dean,Both names are needed for the instantly recognizable form.
jamesearljones,James Earl Jones,James Earl Jones,James Earl Jones,"His full name is the recognizable form, and the current display is already correct."
jamesgandolfini,James Gandolfini,James Gandolfini,James Gandolfini,"His full name is the recognizable form, and the current display is already correct."
jameshetfield,James Hetfield,James Hetfield,James Hetfield,Both first and last names are needed to identify the famous Metallica frontman.
jamieoliver,Jamie Oliver,Jamie Oliver,Jamie Oliver,Both names are needed to identify the famous chef.
janefonda,Jane Fonda,Jane Fonda,Jane Fonda,"Her full name is the recognizable form, and the current display is already correct."
janegoodall,Jane Goodall,Jane Goodall,Jane Goodall,Both names are needed to identify her naturally.
janetjackson,Janet Jackson,Janet Jackson,Janet Jackson,"Her full name is the recognizable form, and the current display is already correct."
janisjoplin,Janis Joplin,Janis Joplin,Janis Joplin,Both first and last names are needed to identify the iconic singer.
jaromirjagr,Jaromir Jagr,Jaromir Jagr,Jaromir Jagr,Both first and last name are needed to identify the famous hockey player.
jasonmomoa,Jason Momoa,Jason Momoa,Jason Momoa,"His full name is the recognizable form, and the current display is already correct."
jasonstatham,Jason Statham,Jason Statham,Jason Statham,"His full name is the recognizable form, and the current display is already correct."
javierbardem,Javier Bardem,Javier Bardem,Javier Bardem,Both names are needed to identify the famous actor.
javiermilei,Javier Milei,Javier Milei,Javier Milei,The current display is already the natural full name by which he is recognized.
jayleno,Jay Leno,Jay Leno,Jay Leno,Both first and last names are needed to identify the famous entertainer.
jayz,Jay-Z,Jay-Z,Jay-Z,The current display is already the fighter's recognizable stage name.
jeanclaudevandam,Jean-Claude Van Damme,Jean-Claude Van Damme,Jean-Claude Van Damme,"His full name is the iconic, instantly recognizable form; neither a surname nor a shorter first-name form is sufficient."
jeanmichelbasqui,Jean-Michel Basquiat,Jean-Michel Basquiat,Basquiat,He is universally recognized by his surname alone.
jeanreno,Jean Reno,Jean Reno,Jean Reno,His full name is the recognizable form.
jeffbezos,Jeff Bezos,Jeff Bezos,Jeff Bezos,Both first and last names are needed for the recognizable full name.
jeffdean,Jeff Dean,Jeff Dean,Jeff Dean,His full name is needed to identify him; the current display is already correct.
jeffgoldblum,Jeff Goldblum,Jeff Goldblum,Jeff Goldblum,"His full name is the instantly recognizable form, and the current display is already correct."
jeffreyepstein,Jeffrey Epstein,Jeffrey Epstein,Jeffrey Epstein,Both names are needed to identify him; the current display is already the appropriate form.
jellyroll,Jelly Roll,Jelly Roll,Jelly Roll,This is his established stage name and the current display is already correct.
jennaortega,Jenna Ortega,Jenna Ortega,Jenna Ortega,"Her full name is the recognizable form, and the current display is already correct."
jenniferlopez,Jennifer Lopez,Jennifer Lopez,Jennifer Lopez,Both first and last names are needed for the instantly recognizable form.
jensenhuang,Jensen Huang,Jensen Huang,Jensen Huang,Both given name and surname are needed to identify him naturally; the current display is already correct.
jerrygarcia,Jerry Garcia,Jerry Garcia,Jerry Garcia,Both first and last names are needed to identify the musician naturally.
jerrylewis,Jerry Lewis,Jerry Lewis,Jerry Lewis,The current display is already the recognizable full name.
jerryseinfeld,Jerry Seinfeld,Jerry Seinfeld,Jerry Seinfeld,Both first and last names are needed for the instantly recognizable name.
jerryspringer,Jerry Springer,Jerry Springer,Jerry Springer,The current display is already the natural full name the crowd would recognize.
jesseowens,Jesse Owens,Jesse Owens,Jesse Owens,Both names are needed to identify the famous athlete.
jesseventura,Jesse Ventura,Jesse Ventura,Jesse Ventura,Both first and last name are needed to identify him naturally.
jesuschrist,Jesus Christ,Jesus Christ,Jesus Christ,The current display is already the iconic full name and should remain unchanged.
jetli,Jet Li,Jet Li,Jet Li,Already the correct full name for the famous martial artist.
jimcarrey,Jim Carrey,Jim Carrey,Jim Carrey,Both first and last names are needed for the instantly recognizable form.
jimhenson,Jim Henson,Jim Henson,Jim Henson,Both first and last names are needed for the instantly recognizable form.
jimihendrix,Jimi Hendrix,Jimi Hendrix,Jimi Hendrix,Both first and last names are needed for instant recognition.
jimmorrison,Jim Morrison,Jim Morrison,Jim Morrison,Both names are needed for the instantly recognizable full-name form.
jimmypage,Jimmy Page,Jimmy Page,Jimmy Page,"His full name is the recognizable form, and the current display is already correct."
joanjett,Joan Jett,Joan Jett,Joan Jett,"Her established famous form is the full name, and the current display is already correct."
joanofarc,Joan of Arc,Joan of Arc,Joan of Arc,"Already the natural, instantly recognizable full name."
joanrivers,Joan Rivers,Joan Rivers,Joan Rivers,Both first and last names are needed to identify the famous comedian.
joebiden,Joe Biden,Joe Biden,Joe Biden,Both first and last names are needed for this recognizable public figure.
joenamath,Joe Namath,Joe Namath,Joe Namath,"His full name is the recognizable form, and the current display is already correct."
joepesci,Joe Pesci,Joe Pesci,Joe Pesci,The current display is already the recognizable full name.
joerogan,Joe Rogan,Joe Rogan,Joe Rogan,"His full name is the recognizable form, and the current display is already correct."
joeychestnut,Joey Chestnut,Joey Chestnut,Joey Chestnut,"His full name is the recognisable form, and the current display is already correct."
joeyflynn,Joey Flynn,Joey Flynn,Joey Flynn,The current display is already the appropriate name.
joeyramone,Joey Ramone,Joey Ramone,Joey Ramone,Already the correct recognizable full name.
johannsebastianb,Johann Sebastian Bach,Johann Sebastian Bach,Bach,Bach is the instantly recognizable surname form for Johann Sebastian Bach.
johnbelushi,John Belushi,John Belushi,John Belushi,Both first and last name are needed to identify the famous actor and comedian.
johnbull,John Bull,John Bull,John Bull,John Bull is the character’s established full name and iconic form.
johncandy,John Candy,John Candy,John Candy,"His full name is the recognizable form, and the current display is already correct."
johncarterofmars,John Carter of Mars,John Carter of Mars,John Carter,The recognizable name is John Carter; “of Mars” is a descriptive qualifier.
johncena,John Cena,John Cena,John Cena,The current display is already the fighter’s recognizable full name.
johncleese,John Cleese,John Cleese,John Cleese,"The full name is the recognizable form, and the current display is already correct."
johndaly,John Daly,John Daly,John Daly,"His full name is the recognizable form, and the current display is already correct."
johnfkennedy,John F. Kennedy,John F. Kennedy,John F. Kennedy,Both first and surname are needed for the iconic full-name form.
johnhenrythestee,John Henry the Steel-Driving Man,John Henry the Steel-Driving Man,John Henry,Strips the descriptive epithet “the Steel-Driving Man”; John Henry is the recognizable name.
johnlennon,John Lennon,John Lennon,John Lennon,Both first and last name are needed for the instantly recognizable form.
johnmadden,John Madden,John Madden,John Madden,Both names are needed to identify the famous sportscaster and game commentator.
johnmcenroe,John McEnroe,John McEnroe,John McEnroe,Both first and last names are needed to identify the famous tennis player.
johnnycarson,Johnny Carson,Johnny Carson,Johnny Carson,Both first and last names are needed to identify the famous television host.
johnnycash,Johnny Cash,Johnny Cash,Johnny Cash,His full name is the iconic form and the current display is already correct.
johnnydepp,Johnny Depp,Johnny Depp,Johnny Depp,Both first and last names are needed to identify the famous actor.
johnnyrotten,Johnny Rotten,Johnny Rotten,Johnny Rotten,Already the correct iconic name; it should remain unchanged.
johnromero,John Romero,John Romero,John Romero,Both first and last name are needed to identify the famous game designer.
johnwaters,John Waters,John Waters,John Waters,Both names are needed to identify the famous filmmaker.
johnwayne,John Wayne,John Wayne,John Wayne,"Both names are needed for instant recognition, and the current display is already correct."
jonahhill,Jonah Hill,Jonah Hill,Jonah Hill,"His full name is the recognizable form, and the current display is already correct."
jonahlomu,Jonah Lomu,Jonah Lomu,Jonah Lomu,His full name is the recognizable form; neither “Jonah” nor “Lomu” alone is sufficiently distinctive.
jonbonjovi,Jon Bon Jovi,Jon Bon Jovi,Jon Bon Jovi,Both the first name and surname are part of his instantly recognized stage name.
jonjones,Jon Jones,Jon Jones,Jon Jones,His recognizable in-game name is already correctly displayed as the full name Jon Jones.
jonstewart,Jon Stewart,Jon Stewart,Jon Stewart,Both first and last names are needed for recognition.
josephstalin,Joseph Stalin,Joseph Stalin,Stalin,Surname alone is the instantly recognisable form.
josmourinho,José Mourinho,José Mourinho,José Mourinho,Both names are needed to identify him; the current display is already correct.
jrgenklopp,Jürgen Klopp,Jürgen Klopp,Jürgen Klopp,"His full name is the recognizable form, and the current display is already correct."
jrrtolkien,J. R. R. Tolkien,J. R. R. Tolkien,Tolkien,Surname alone is the instantly recognizable form.
judgejudy,Judge Judy,Judge Judy,Judge Judy,Already the iconic name by which she is instantly recognized; the title is part of the name.
judygarland,Judy Garland,Judy Garland,Judy Garland,Her full name is the iconic form by which she is instantly recognized.
juliachild,Julia Child,Julia Child,Julia Child,"Her full name is the instantly recognizable form, and the current display is already correct."
julianassange,Julian Assange,Julian Assange,Julian Assange,Both names are needed to identify him; he is not conventionally known by surname alone.
julieandrews,Julie Andrews,Julie Andrews,Julie Andrews,Both names are needed to identify the famous actress and singer.
julietcapulet,Juliet Capulet,Juliet Capulet,Juliet Capulet,Both names are needed to identify Shakespeare's famous character.
juliuscaesar,Julius Caesar,Julius Caesar,Caesar,Surname alone is the iconic form by which Julius Caesar is instantly recognized.
jungkook,Jungkook,Jungkook,Jungkook,Jungkook is already the recognizable name used by the fighter.
justinbieber,Justin Bieber,Justin Bieber,Justin Bieber,The current display is already the recognizable full name.
kaicenat,Kai Cenat,Kai Cenat,Kai Cenat,The current display is already the recognizable full name.
kaiserwilhelm,Kaiser Wilhelm,Kaiser Wilhelm,Kaiser Wilhelm,Wilhelm II is most naturally and recognisably identified by his surname; the imperial title is a descriptive qualifier.
kaishahom,Kaisha Hom,Kaisha Hom,Kaisha Hom,The current display is already the fighter’s natural full name.
kappatheyokai,Kappa the Yokai,Kappa the Yokai,Kappa,Strips the descriptive qualifier “the Yokai”; Kappa is the instantly recognizable name.
kareemabduljabba,Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,His full name is the recognizable form and the current display is already correct.
karllagerfeld,Karl Lagerfeld,Karl Lagerfeld,Karl Lagerfeld,"His full name is the recognizable form, and the current display is already correct."
karlmarx,Karl Marx,Karl Marx,Marx,Surname alone is the instantly recognizable form for Karl Marx.
katebush,Kate Bush,Kate Bush,Kate Bush,Her iconic name is commonly recognized as the full name; neither “Kate” nor “Bush” alone is sufficient.
kattwilliams,Katt Williams,Katt Williams,Katt Williams,The current display is already the recognizable full name.
katyperry,Katy Perry,Katy Perry,Katy Perry,Her full name is the recognizable form and the current display is already correct.
keanureeves,Keanu Reeves,Keanu Reeves,Keanu Reeves,"His full name is the recognizable form, and the current display is already correct."
keithharing,Keith Haring,Keith Haring,Keith Haring,Both name halves are needed to identify the famous artist.
keithrichards,Keith Richards,Keith Richards,Keith Richards,The current display is already the recognizable full name.
kelseygrammer,Kelsey Grammer,Kelsey Grammer,Kelsey Grammer,The current display is already the natural full name by which he is recognized.
kenanthompson,Kenan Thompson,Kenan Thompson,Kenan Thompson,"His full name is the recognizable form, and the current display is already correct."
kendricklamar,Kendrick Lamar,Kendrick Lamar,Kendrick Lamar,His full name is the instantly recognizable form; neither name alone is sufficient.
kengriffeyjr,Ken Griffey Jr.,Ken Griffey Jr.,Ken Griffey Jr.,"His full name, including the iconic “Jr.” suffix, is the recognizable in-game form."
kennyg,Kenny G,Kenny G,Kenny G,The current display is already the artist’s instantly recognizable stage name.
kenwatanabe,Ken Watanabe,Ken Watanabe,Ken Watanabe,"The current display is already the natural, recognisable full name."
